Raw 0x113d9c9c  Time:  289250460;  DifTime: 229
Raw 0x113d9d7d  Time:  289250685;  DifTime: 225
Raw 0x113d9e5d  Time:  289250909;  DifTime: 224
Raw 0x113d9f40  Time:  289251136;  DifTime: 227
Raw 0x113da01f  Time:  289251359;  DifTime: 223
Raw 0x113da102  Time:  289251586;  DifTime: 227
Raw 0x113da1e4  Time:  289251812;  DifTime: 226
Raw 0x113da517  Time:  289252631;  DifTime: 819
Raw 0x113da609  Time:  289252873;  DifTime: 242
Raw 0x113da6f5  Time:  289253109;  DifTime: 236
Raw 0x113da7e0  Time:  289253344;  DifTime: 235
Raw 0x113da8c7  Time:  289253575;  DifTime: 231
Raw 0x113da9af  Time:  289253807;  DifTime: 232
Raw 0x113daa96  Time:  289254038;  DifTime: 231
Raw 0x113dab7c  Time:  289254268;  DifTime: 230
Raw 0x113dac67  Time:  289254503;  DifTime: 235
Raw 0x113dad4f  Time:  289254735;  DifTime: 232
Raw 0x113dae37  Time:  289254967;  DifTime: 232
Raw 0x113daf1f  Time:  289255199;  DifTime: 232
Raw 0x113db007  Time:  289255431;  DifTime: 232
Raw 0x113db0f0  Time:  289255664;  DifTime: 233
Raw 0x113db225  Time:  289255973;  DifTime: 309
Raw 0x113db30e  Time:  289256206;  DifTime: 233
Raw 0x113db3f8  Time:  289256440;  DifTime: 234
Raw 0x113db4e1  Time:  289256673;  DifTime: 233
Raw 0x113db5ca  Time:  289256906;  DifTime: 233
Raw 0x113db6b1  Time:  289257137;  DifTime: 231
Raw 0x113db79d  Time:  289257373;  DifTime: 236
Raw 0x113db886  Time:  289257606;  DifTime: 233
Raw 0x113db96d  Time:  289257837;  DifTime: 231
Raw 0x113dba54  Time:  289258068;  DifTime: 231
Raw 0x113dbb3a  Time:  289258298;  DifTime: 230
Raw 0x113dbc21  Time:  289258529;  DifTime: 231
Raw 0x113dbd0c  Time:  289258764;  DifTime: 235
Raw 0x113dbdf5  Time:  289258997;  DifTime: 233
Raw 0x113dbee0  Time:  289259232;  DifTime: 235
Raw 0x113dbfc7  Time:  289259463;  DifTime: 231
Raw 0x113dc0ad  Time:  289259693;  DifTime: 230
Raw 0x113dc193  Time:  289259923;  DifTime: 230
Raw 0x113dc279  Time:  289260153;  DifTime: 230
Raw 0x113dc35e  Time:  289260382;  DifTime: 229
Raw 0x113dc443  Time:  289260611;  DifTime: 229
Raw 0x113dc52a  Time:  289260842;  DifTime: 231
Raw 0x113dc60e  Time:  289261070;  DifTime: 228
Raw 0x113dc6f9  Time:  289261305;  DifTime: 235
Raw 0x113dc7e4  Time:  289261540;  DifTime: 235
Raw 0x113dc8c9  Time:  289261769;  DifTime: 229
Raw 0x113dc9e6  Time:  289262054;  DifTime: 285
Raw 0x113dcad3  Time:  289262291;  DifTime: 237
Raw 0x113dcbbe  Time:  289262526;  DifTime: 235
Raw 0x113dcca7  Time:  289262759;  DifTime: 233
Raw 0x113dcd92  Time:  289262994;  DifTime: 235
Raw 0x113dce7b  Time:  289263227;  DifTime: 233
Raw 0x113dcf67  Time:  289263463;  DifTime: 236
Raw 0x113dd04f  Time:  289263695;  DifTime: 232
Raw 0x113dd13a  Time:  289263930;  DifTime: 235
Raw 0x113dd226  Time:  289264166;  DifTime: 236
Raw 0x113dd314  Time:  289264404;  DifTime: 238
Raw 0x113dd3fe  Time:  289264638;  DifTime: 234
Raw 0x113dd4eb  Time:  289264875;  DifTime: 237
Raw 0x113dd5d8  Time:  289265112;  DifTime: 237
Raw 0x113dd6c3  Time:  289265347;  DifTime: 235
Raw 0x113dd81b  Time:  289265691;  DifTime: 344
Raw 0x113dd972  Time:  289266034;  DifTime: 343
Raw 0x113dda63  Time:  289266275;  DifTime: 241
Raw 0x113ddb50  Time:  289266512;  DifTime: 237
Raw 0x113ddc3e  Time:  289266750;  DifTime: 238
Raw 0x113ddd29  Time:  289266985;  DifTime: 235
Raw 0x113dde19  Time:  289267225;  DifTime: 240
Raw 0x113ddf0a  Time:  289267466;  DifTime: 241
Raw 0x113ddff7  Time:  289267703;  DifTime: 237
Raw 0x113de0e5  Time:  289267941;  DifTime: 238
Raw 0x113de1d2  Time:  289268178;  DifTime: 237
Raw 0x113de2bf  Time:  289268415;  DifTime: 237
Raw 0x113de3a9  Time:  289268649;  DifTime: 234
Raw 0x113de492  Time:  289268882;  DifTime: 233
Raw 0x113de580  Time:  289269120;  DifTime: 238
Raw 0x113de66d  Time:  289269357;  DifTime: 237
Raw 0x113de75a  Time:  289269594;  DifTime: 237
Raw 0x113de846  Time:  289269830;  DifTime: 236
Raw 0x113de931  Time:  289270065;  DifTime: 235
Raw 0x113dea20  Time:  289270304;  DifTime: 239
Raw 0x113deb35  Time:  289270581;  DifTime: 277
Raw 0x113dec24  Time:  289270820;  DifTime: 239
Raw 0x113ded13  Time:  289271059;  DifTime: 239
Raw 0x113dee02  Time:  289271298;  DifTime: 239
Raw 0x113deef1  Time:  289271537;  DifTime: 239
Raw 0x113defdf  Time:  289271775;  DifTime: 238
Raw 0x113df156  Time:  289272150;  DifTime: 375
Raw 0x113df2be  Time:  289272510;  DifTime: 360
Raw 0x113df3aa  Time:  289272746;  DifTime: 236
Raw 0x113df496  Time:  289272982;  DifTime: 236
Raw 0x113df57d  Time:  289273213;  DifTime: 231
Raw 0x113df664  Time:  289273444;  DifTime: 231
Raw 0x113df74a  Time:  289273674;  DifTime: 230
Raw 0x113df831  Time:  289273905;  DifTime: 231
Raw 0x113df919  Time:  289274137;  DifTime: 232
Raw 0x113dfa00  Time:  289274368;  DifTime: 231
Raw 0x113dfae5  Time:  289274597;  DifTime: 229
Raw 0x113dfbcd  Time:  289274829;  DifTime: 232
Raw 0x113dfcb1  Time:  289275057;  DifTime: 228
Raw 0x113dfd96  Time:  289275286;  DifTime: 229
Raw 0x113dfe7b  Time:  289275515;  DifTime: 229
Raw 0x113dff62  Time:  289275746;  DifTime: 231
Raw 0x113e0047  Time:  289275975;  DifTime: 229
Raw 0x113e013c  Time:  289276220;  DifTime: 245
Raw 0x113e0225  Time:  289276453;  DifTime: 233
Raw 0x113e0312  Time:  289276690;  DifTime: 237
Raw 0x113e03fa  Time:  289276922;  DifTime: 232
Raw 0x113e04e2  Time:  289277154;  DifTime: 232
Raw 0x113e05c8  Time:  289277384;  DifTime: 230
Raw 0x113e06b0  Time:  289277616;  DifTime: 232
Raw 0x113e079a  Time:  289277850;  DifTime: 234
Raw 0x113e0882  Time:  289278082;  DifTime: 232
Raw 0x113e0968  Time:  289278312;  DifTime: 230
Raw 0x113e0a51  Time:  289278545;  DifTime: 233
Raw 0x113e0b38  Time:  289278776;  DifTime: 231
Raw 0x113e0c1f  Time:  289279007;  DifTime: 231
Raw 0x113e0d05  Time:  289279237;  DifTime: 230
Raw 0x113e0ded  Time:  289279469;  DifTime: 232
Raw 0x113e0ed6  Time:  289279702;  DifTime: 233
Raw 0x113e0fbe  Time:  289279934;  DifTime: 232
Raw 0x113e10a4  Time:  289280164;  DifTime: 230
Raw 0x113e1192  Time:  289280402;  DifTime: 238
Raw 0x113e1278  Time:  289280632;  DifTime: 230
Raw 0x113e1361  Time:  289280865;  DifTime: 233
Raw 0x113e1447  Time:  289281095;  DifTime: 230
Raw 0x113e152f  Time:  289281327;  DifTime: 232
Raw 0x113e1615  Time:  289281557;  DifTime: 230
Raw 0x113e16ff  Time:  289281791;  DifTime: 234
Raw 0x113e17ef  Time:  289282031;  DifTime: 240
Raw 0x113e18d9  Time:  289282265;  DifTime: 234
Raw 0x113e19c1  Time:  289282497;  DifTime: 232
Raw 0x113e1aa6  Time:  289282726;  DifTime: 229
Raw 0x113e1b8b  Time:  289282955;  DifTime: 229
Raw 0x113e1c72  Time:  289283186;  DifTime: 231
Raw 0x113e1d58  Time:  289283416;  DifTime: 230
Raw 0x113e1e3c  Time:  289283644;  DifTime: 228
Raw 0x113e1f26  Time:  289283878;  DifTime: 234
Raw 0x113e200a  Time:  289284106;  DifTime: 228
Raw 0x113e20ef  Time:  289284335;  DifTime: 229
Raw 0x113e21d5  Time:  289284565;  DifTime: 230
Raw 0x113e22bb  Time:  289284795;  DifTime: 230
Raw 0x113e23a4  Time:  289285028;  DifTime: 233
Raw 0x113e248b  Time:  289285259;  DifTime: 231
Raw 0x113e256e  Time:  289285486;  DifTime: 227
Raw 0x113e2658  Time:  289285720;  DifTime: 234
Raw 0x113e27ac  Time:  289286060;  DifTime: 340
Raw 0x113e290d  Time:  289286413;  DifTime: 353
Raw 0x113e29f6  Time:  289286646;  DifTime: 233
Raw 0x113e2ae1  Time:  289286881;  DifTime: 235
Raw 0x113e2bc9  Time:  289287113;  DifTime: 232
Raw 0x113e2cb1  Time:  289287345;  DifTime: 232
Raw 0x113e2d98  Time:  289287576;  DifTime: 231
Raw 0x113e2e7f  Time:  289287807;  DifTime: 231
Raw 0x113e2f6c  Time:  289288044;  DifTime: 237
Raw 0x113e3055  Time:  289288277;  DifTime: 233
Raw 0x113e313e  Time:  289288510;  DifTime: 233
